name	time	sum_angles	abs_angles	heading	v0
ALS.2022.1.28.assaytestN2s#2.mp4	95	1733.7560593057729	1880.7270332555427		
ALS.2022.1.28.assaytestN2s#2.mp4	96	1752.795419780062	1892.3468038376946	-48.88317289758685	19.42373235404577
ALS.2022.1.28.assaytestN2s#2.mp4	97	1410.7955481249196	1468.3879337495769	11.852833066423159	38.31949885131057
ALS.2022.1.28.assaytestN2s#2.mp4	98	1344.6770021353113	1419.9717102727238	-11.226296799227484	53.90274524159458
ALS.2022.1.28.assaytestN2s#2.mp4	99	829.1957462314962	1041.4253734488589	-43.229651631365385	27.64236990157542
ALS.2022.1.28.assaytestN2s#2.mp4	100	707.1095688769142	901.2390098992948	-59.44230135325333	30.85641669409441
ALS.2022.1.28.assaytestN2s#2.mp4	101	767.8535719726784	845.7093461028772	122.6339139000059	28.531423334107572
ALS.2022.1.28.assaytestN2s#2.mp4	102	832.9786275407442	951.7555704003738	109.97776844428006	13.310504144875834
ALS.2022.1.28.assaytestN2s#2.mp4	103	799.3886766657773	897.4994558202051	73.1939452233272	11.048328737431055
ALS.2022.1.28.assaytestN2s#2.mp4	104	821.2265185884744	821.2265185884744	150.87672689440922	12.131956373461906
ALS.2022.1.28.assaytestN2s#2.mp4	105	470.8938910988967	560.5251611955515	107.27151413129656	18.857851272287903
